word,zipf
airmobile,1.49
airpark,2.39
airparks,1.79
airplane,3.95
airplanes,3.6
airplay,3.02
airport,5.06
airports,4.17
airpower,2.34
airs,3.32
airscrew,1.57
airshed,1.89
airship,2.7
airships,2.32
airspace,3.2
airspeed,2.58
airspeeds,1.39
airstream,2.56
airstrip,2.64
airstrips,1.9
airt,1.56
airth,1.68
airtight,2.85
airtime,2.9
airwave,2.52
airwaves,3.08
airway,3.41
airways,3.91
airwise,2.25
airworthiness,2.75
airworthy,1.67
airy,3.32
ais,3.43
aisle,3.51
aisles,2.94
ait,3.31
aitch,1.69
aits,1.56
ajar,2.37
ajuga,1.72
akela,1.68
akimbo,2.26
akin,3.46
al,5.33
ala,4.0
alabaster,2.97
alack,1.82
alacrity,2.36
alae,1.54
alameda,3.55
alamo,3.57
alamos,3.41
alan,4.55
aland,3.17
alane,1.77
alang,1.91
alanine,3.0
alans,1.76
alanyl,2.01
alar,2.12
alarm,4.46
alarmed,3.17
alarming,3.33
alarmingly,2.47
alarmist,2.31
alarmists,1.55
alarms,3.88
alarum,1.65
alary,1.35
alas,3.6
alaska,4.73
alastor,1.68
alb,3.17
alba,3.73
albacore,2.45
albatross,2.97
albatrosses,2.05
albedo,2.79
albedos,1.53
albeit,3.63
albinism,2.12
albino,2.9
albinos,1.49
albite,1.86
albizia,1.68
albs,1.48
album,5.12
albumen,2.33
albumin,3.16
albumins,1.79
albuminuria,1.87
albums,4.61
alcalde,2.15
alcazar,2.46
alchemic,1.54
alchemical,2.46
alchemist,3.33
alchemists,2.34
alchemy,3.5
alcohol,4.63
alcoholic,3.83
alcoholics,3.26
alcoholism,3.55
alcohols,2.9
alcove,2.71
alcoves,1.94
aldehyde,2.76
aldehydes,2.54
alder,3.22
alderman,3.17
aldermanic,1.64
aldermen,2.7
alders,1.94
alderwoman,1.39
aldol,1.74
aldolase,2.38
aldose,1.85
aldosterone,2.59
